dataset_name,query,scientific_name,rank,target_class,match_type
Biome Health Project Maasai Mara 2018,aardvark,orycteropus afer,species,aardvark,species
Nkhotakota Camera Traps,aardvark,orycteropus afer,species,aardvark,species
Snapshot Camdeboo,aardvarkantbear,orycteropus afer,species,aardvark,species
Snapshot Enonkishu,aardvark,orycteropus afer,species,aardvark,species
Snapshot Kgalagadi,aardvarkantbear,orycteropus afer,species,aardvark,species
Snapshot Kruger,aardvarkantbear,orycteropus afer,species,aardvark,species
Snapshot Mountain Zebra,aardvarkantbear,orycteropus afer,species,aardvark,species
Snapshot Safari 2024 Expansion,aardvark,orycteropus afer,species,aardvark,species
Snapshot Serengeti,aardvark,orycteropus afer,species,aardvark,species
WCS Camera Traps,orycteropus afer,orycteropus afer,species,aardvark,species
Biome Health Project Maasai Mara 2018,aardwolf,proteles cristatus,species,aardwolf,common_name
Snapshot Camdeboo,aardwolf,proteles cristatus,species,aardwolf,common_name
Snapshot Kruger,aardwolf,proteles cristatus,species,aardwolf,common_name
Snapshot Mountain Zebra,aardwolf,proteles cristatus,species,aardwolf,common_name
Snapshot Safari 2024 Expansion,aardwolf,proteles cristatus,species,aardwolf,common_name
Snapshot Serengeti,aardwolf,proteles cristatus,species,aardwolf,common_name
WCS Camera Traps,proteles cristata,proteles cristatus,species,aardwolf,species_synonym
Biome Health Project Maasai Mara 2018,buffalo,syncerus caffer,species,african buffalo,species
Nkhotakota Camera Traps,cape_buffalo,syncerus caffer caffer,subspecies,african buffalo,species
Snapshot Camdeboo,buffalo,syncerus caffer,species,african buffalo,species
Snapshot Enonkishu,buffalo,syncerus caffer,species,african buffalo,species
Snapshot Kruger,buffalo,syncerus caffer,species,african buffalo,species
Snapshot Mountain Zebra,buffalo,syncerus caffer,species,african buffalo,species
Snapshot Safari 2024 Expansion,buffalo,syncerus caffer,species,african buffalo,species
Snapshot Serengeti,buffalo,syncerus caffer,species,african buffalo,species
WCS Camera Traps,syncerus caffer,syncerus caffer,species,african buffalo,species
Nkhotakota Camera Traps,african_civet,civettictis civetta,species,african civet,species
WCS Camera Traps,civettictis civetta,civettictis civetta,species,african civet,species
Biome Health Project Maasai Mara 2018,elephant,loxodonta africana,species,african elephant,species
Desert Lion Conservation Camera Traps,loxodanta africana,loxodonta africana,species,african elephant,species
Nkhotakota Camera Traps,african_savanna_elephant,loxodonta africana,species,african elephant,species
Snapshot Enonkishu,elephant,loxodonta africana,species,african elephant,species
Snapshot Kruger,elephant,loxodonta africana,species,african elephant,species
Snapshot Safari 2024 Expansion,elephant,loxodonta africana,species,african elephant,species
Snapshot Serengeti,elephant,loxodonta africana,species,african elephant,species
WCS Camera Traps,loxodonta africana,loxodonta africana,species,african elephant,species
Snapshot Kruger,wilddog,lycaon pictus,species,african wild dog,species
Snapshot Safari 2024 Expansion,wilddog,lycaon pictus,species,african wild dog,species
Snapshot Serengeti,wilddog,lycaon pictus,species,african wild dog,species
WCS Camera Traps,lycaon pictus,lycaon pictus,species,african wild dog,species
Missouri Camera Traps,agouti,dasyprocta,genus,agouti genus,genus
Missouri Camera Traps,coiban_agouti,dasyprocta coibae,species,agouti genus,genus
Orinoquia Camera Traps,black_agouti,dasyprocta fuliginosa,species,agouti genus,genus
Orinoquia Camera Traps,coiban_agouti,dasyprocta coibae,species,agouti genus,genus
Orinoquia Camera Traps,orinoco_agouti,dasyprocta guamara,species,agouti genus,genus
WCS Camera Traps,dasiprocta punctata,dasyprocta punctata,species,agouti genus,genus
WCS Camera Traps,dasyprocta fuliginosa,dasyprocta fuliginosa,species,agouti genus,genus
WCS Camera Traps,dasyprocta leporina,dasyprocta leporina,species,agouti genus,genus
WCS Camera Traps,dasyprocta punctata,dasyprocta punctata,species,agouti genus,genus
Caltech Camera Traps,badger,taxidea taxus,species,american badger,species
Felidae Conservation Fund 2020-2025,american badger,taxidea taxus,species,american badger,species
Idaho Camera Traps,badger,taxidea taxus,species,american badger,species
WSU Lynx,taxidea taxus,taxidea taxus,species,american badger,species
California Small Animals,american black bear,ursus americanus americanus,subspecies,american black bear,species
ENA24,american black bear,ursus americanus,species,american black bear,species
Felidae Conservation Fund 2020-2025,black bear,ursus americanus,species,american black bear,species
Idaho Camera Traps,bear,ursus americanus,species,american black bear,species
NACTI,ursus americanus,ursus americanus,species,american black bear,species
Oregon Critters,black bear,ursus americanus,species,american black bear,species
Seattle(ish) Camera Traps,bear,ursus americanus,species,american black bear,species
WSU Lynx,ursus americanus,ursus americanus,species,american black bear,species
California Small Animals,american mink,neogale vison,species,american mink,common_name
WCS Camera Traps,elephas maximus,elephas maximus,species,asian elephant,species
SWG Camera Traps,asiatic_black_bear,ursus thibetanus,species,asiatic black bear,species
WCS Camera Traps,ursus thibetanus,ursus thibetanus,species,asiatic black bear,species
WCS Camera Traps,ateles chamek,ateles chamek,species,ateles species,genus
WCS Camera Traps,daubentonia madagascariensis,daubentonia madagascariensis,species,aye-aye,species
Biome Health Project Maasai Mara 2018,baboon,papio anubis,species,baboon genus,genus
Desert Lion Conservation Camera Traps,papio anubis,papio anubis,species,baboon genus,genus
Nkhotakota Camera Traps,yellow_baboon,papio cynocephalus,species,baboon genus,genus
Snapshot Camdeboo,baboon,papio,genus,baboon genus,genus
Snapshot Enonkishu,baboon,papio,genus,baboon genus,genus
Snapshot Karoo,baboon,papio,genus,baboon genus,genus
Snapshot Kruger,baboon,papio,genus,baboon genus,genus
Snapshot Mountain Zebra,baboon,papio,genus,baboon genus,genus
Snapshot Safari 2024 Expansion,baboon,papio,genus,baboon genus,genus
Snapshot Serengeti,baboon,papio,genus,baboon genus,genus
WCS Camera Traps,papio anubis,papio anubis,species,baboon genus,genus
WCS Camera Traps,papio cynocephalus,papio cynocephalus,species,baboon genus,genus
WCS Camera Traps,tapirus bairdii,tapirus bairdii,species,baird's tapir,species
Biome Health Project Maasai Mara 2018,bateared_fox,otocyon megalotis,species,bat-eared fox,species
Desert Lion Conservation Camera Traps,otocyon megalotis,otocyon megalotis,species,bat-eared fox,species
Snapshot Camdeboo,foxbateared,otocyon megalotis,species,bat-eared fox,species
Snapshot Enonkishu,foxbateared,otocyon megalotis,species,bat-eared fox,species
Snapshot Karoo,foxbateared,otocyon megalotis,species,bat-eared fox,species
Snapshot Kgalagadi,foxbateared,otocyon megalotis,species,bat-eared fox,species
Snapshot Kruger,foxbateared,otocyon megalotis,species,bat-eared fox,species
Snapshot Mountain Zebra,foxbateared,otocyon megalotis,species,bat-eared fox,species
Snapshot Safari 2024 Expansion,foxbateared,otocyon megalotis,species,bat-eared fox,species
Snapshot Serengeti,batearedfox,otocyon megalotis,species,bat-eared fox,species
WCS Camera Traps,otocyon megalotis,otocyon megalotis,species,bat-eared fox,species
Idaho Camera Traps,bighorn sheep,ovis canadensis,species,bighorn sheep,species
WSU Lynx,ovis canadensis,ovis canadensis,species,bighorn sheep,species
SWG Camera Traps,binturong,arctictis binturong,species,binturong,species
WCS Camera Traps,arctictis binturong,arctictis binturong,species,binturong,species
Snapshot Camdeboo,wildebeestblack,connochaetes gnou,species,black wildebeest,species
Snapshot Mountain Zebra,wildebeestblack,connochaetes gnou,species,black wildebeest,species
Snapshot Safari 2024 Expansion,wildebeestblack,connochaetes gnou,species,black wildebeest,species
Desert Lion Conservation Camera Traps,canis mesomelas,lupulella mesomelas,species,black-backed jackal,species_synonym
WCS Camera Traps,canis mesomelas,lupulella mesomelas,species,black-backed jackal,species_synonym
Snapshot Camdeboo,blesbok,damaliscus pygargus phillipsi,subspecies,blesbok,species
Snapshot Mountain Zebra,blesbok,damaliscus pygargus phillipsi,subspecies,blesbok,species
Snapshot Safari 2024 Expansion,blesbok,damaliscus pygargus phillipsi,subspecies,blesbok,species
Snapshot Safari 2024 Expansion,bontebok,damaliscus pygargus,species,blesbok,species
California Small Animals,bobcat,lynx rufus,species,bobcat,species
Caltech Camera Traps,bobcat,lynx rufus,species,bobcat,species
ENA24,bobcat,lynx rufus,species,bobcat,species
Felidae Conservation Fund 2020-2025,bobcat,lynx rufus,species,bobcat,species
Idaho Camera Traps,bobcat,lynx rufus,species,bobcat,species
NACTI,lynx rufus,lynx rufus,species,bobcat,species
Oregon Critters,bobcat,lynx rufus,species,bobcat,species
Seattle(ish) Camera Traps,bobcat,lynx rufus,species,bobcat,species
WSU Lynx,lynx rufus,lynx rufus,species,bobcat,species
Desert Lion Conservation Camera Traps,hyaena brunnea,parahyaena brunnea,species,brown hyaena,species
Snapshot Karoo,hyenabrown,parahyaena brunnea,species,brown hyaena,species
Snapshot Kgalagadi,hyenabrown,parahyaena brunnea,species,brown hyaena,species
Snapshot Mountain Zebra,hyenabrown,parahyaena brunnea,species,brown hyaena,species
Snapshot Safari 2024 Expansion,hyenabrown,parahyaena brunnea,species,brown hyaena,species
Snapshot Serengeti,hyenabrown,parahyaena brunnea,species,brown hyaena,species
Biome Health Project Maasai Mara 2018,bushbuck,tragelaphus scriptus,species,bushbuck,species
Snapshot Enonkishu,bushbuck,tragelaphus scriptus,species,bushbuck,species
Snapshot Mountain Zebra,bushbuck,tragelaphus scriptus,species,bushbuck,species
Snapshot Safari 2024 Expansion,bushbuck,tragelaphus scriptus,species,bushbuck,species
Snapshot Serengeti,bushbuck,tragelaphus scriptus,species,bushbuck,species
WCS Camera Traps,tragelaphus scriptus,tragelaphus scriptus,species,bushbuck,species
California Small Animals,california ground squirrel,otospermophilus beecheyi,species,california ground squirrel,species
NACTI,otospermophilus beecheyi,otospermophilus beecheyi,species,california ground squirrel,species
Oregon Critters,california ground squirrel,otospermophilus beecheyi,species,california ground squirrel,species
WSU Lynx,lynx canadensis,lynx canadensis,species,canada lynx,species
Orinoquia Camera Traps,capybara,hydrochoerus hydrochaeris,species,capybara,species
WCS Camera Traps,hydrochoerus hydrochaeris,hydrochoerus hydrochaeris,species,capybara,species
Snapshot Camdeboo,caracal,caracal caracal,species,caracal,species
Snapshot Karoo,caracal,caracal caracal,species,caracal,species
Snapshot Kgalagadi,caracal,caracal caracal,species,caracal,species
Snapshot Kruger,caracal,caracal caracal,species,caracal,species
Snapshot Mountain Zebra,caracal,caracal caracal,species,caracal,species
Snapshot Safari 2024 Expansion,caracal,caracal caracal,species,caracal,species
Snapshot Serengeti,caracal,caracal caracal,species,caracal,species
WCS Camera Traps,caracal caracal,caracal caracal,species,caracal,species
WCS Camera Traps,cebus albifrons,cebus albifrons,species,cebus species,genus
Snapshot Enonkishu,duiker,cephalophus,genus,cephalophus species,genus
Snapshot Karoo,duiker,cephalophus,genus,cephalophus species,genus
Snapshot Kruger,duikerrednatal,cephalophus natalensis,species,cephalophus species,genus
Snapshot Mountain Zebra,duiker,cephalophus,genus,cephalophus species,genus
Snapshot Safari 2024 Expansion,duikerrednatal,cephalophus natalensis,species,cephalophus species,genus
Snapshot Serengeti,duiker,cephalophus,genus,cephalophus species,genus
WCS Camera Traps,cephalophus harveyi,cephalophus harveyi,species,cephalophus species,genus
WCS Camera Traps,cephalophus nigrifrons,cephalophus nigrifrons,species,cephalophus species,genus
WCS Camera Traps,cephalophus silvicultor,cephalophus silvicultor,species,cephalophus species,genus
WCS Camera Traps,cephalophus spadix,cephalophus spadix,species,cephalophus species,genus
Nkhotakota Camera Traps,blue_monkey,cercopithecus mitis,species,cercopithecus species,genus
Snapshot Safari 2024 Expansion,monkeysamango,cercopithecus mitis albogularis,subspecies,cercopithecus species,genus
WCS Camera Traps,cercopithecus albogularis,cercopithecus erythrogaster,species,cercopithecus species,genus
WCS Camera Traps,cercopithecus mitis,cercopithecus mitis,species,cercopithecus species,genus
Biome Health Project Maasai Mara 2018,cheetah,acinonyx jubatus,species,cheetah,species
Desert Lion Conservation Camera Traps,acinonyx jubatus,acinonyx jubatus,species,cheetah,species
Snapshot Enonkishu,cheetah,acinonyx jubatus,species,cheetah,species
Snapshot Kgalagadi,cheetah,acinonyx jubatus,species,cheetah,species
Snapshot Kruger,cheetah,acinonyx jubatus,species,cheetah,species
Snapshot Mountain Zebra,cheetah,acinonyx jubatus,species,cheetah,species
Snapshot Safari 2024 Expansion,cheetah,acinonyx jubatus,species,cheetah,species
Snapshot Serengeti,cheetah,acinonyx jubatus,species,cheetah,species
WCS Camera Traps,acinonyx jubatus,acinonyx jubatus,species,cheetah,species
WCS Camera Traps,pan troglodytes,pan troglodytes,species,chimpanzee,species
ENA24,eastern chipmunk,tamias striatus,species,chipmunk genus,genus
NACTI,unidentified chipmunk,tamias,genus,chipmunk genus,genus
Ohio Small Animals,eastern_chipmunk,tamias striatus,species,chipmunk genus,genus
WCS Camera Traps,neofelis nebulosa,neofelis nebulosa,species,clouded leopard,species
Missouri Camera Traps,collared_peccary,pecari tajacu,species,collared peccary,species
Orinoquia Camera Traps,collared_peccary,pecari tajacu,species,collared peccary,species
WCS Camera Traps,pecari tajacu,pecari tajacu,species,collared peccary,species
WCS Camera Traps,tayassu tajacu,pecari tajacu,species,collared peccary,species
WCS Camera Traps,colobus angolensis,colobus angolensis,species,colobus species,genus
Nkhotakota Camera Traps,common_duiker,sylvicapra grimmia,species,common duiker,species
Snapshot Camdeboo,duikercommongrey,sylvicapra grimmia,species,common duiker,species
Snapshot Kgalagadi,duikercommongrey,sylvicapra grimmia,species,common duiker,species
Snapshot Kruger,duikercommongrey,sylvicapra grimmia,species,common duiker,species
Snapshot Safari 2024 Expansion,duikercommongrey,sylvicapra grimmia,species,common duiker,species
WCS Camera Traps,sylvicapra grimmia,sylvicapra grimmia,species,common duiker,species
Biome Health Project Maasai Mara 2018,eland,tragelaphus oryx,species,common eland,species
Nkhotakota Camera Traps,common_eland,tragelaphus oryx,species,common eland,species
Snapshot Camdeboo,eland,tragelaphus oryx,species,common eland,species
Snapshot Enonkishu,eland,tragelaphus oryx,species,common eland,species
Snapshot Karoo,eland,tragelaphus oryx,species,common eland,species
Snapshot Kgalagadi,eland,tragelaphus oryx,species,common eland,species
Snapshot Mountain Zebra,eland,tragelaphus oryx,species,common eland,species
Snapshot Safari 2024 Expansion,eland,tragelaphus oryx,species,common eland,species
Snapshot Serengeti,eland,tragelaphus oryx,species,common eland,species
WCS Camera Traps,tragelaphus oryx,tragelaphus oryx,species,common eland,species
Snapshot Camdeboo,fallowdeer,dama dama,species,common fallow deer,species
Snapshot Mountain Zebra,fallowdeer,dama dama,species,common fallow deer,species
Snapshot Safari 2024 Expansion,fallowdeer,dama dama,species,common fallow deer,species
Biome Health Project Maasai Mara 2018,warthog,phacochoerus africanus,species,common warthog,species
Nkhotakota Camera Traps,common_warthog,phacochoerus africanus,species,common warthog,species
Snapshot Enonkishu,warthog,phacochoerus africanus,species,common warthog,species
Snapshot Kruger,warthog,phacochoerus africanus,species,common warthog,species
Snapshot Mountain Zebra,warthog,phacochoerus africanus,species,common warthog,species
Snapshot Safari 2024 Expansion,warthog,phacochoerus africanus,species,common warthog,species
Snapshot Serengeti,warthog,phacochoerus africanus,species,common warthog,species
WCS Camera Traps,phacochoerus africanus,phacochoerus africanus,species,common warthog,species
Biome Health Project Maasai Mara 2018,wildebeest,connochaetes taurinus,species,common wildebeest,species
Snapshot Enonkishu,wildebeest,connochaetes taurinus,species,common wildebeest,species
Snapshot Karoo,wildebeestblue,connochaetes taurinus,species,common wildebeest,species
Snapshot Kgalagadi,wildebeestblue,connochaetes taurinus,species,common wildebeest,species
Snapshot Kruger,wildebeestblue,connochaetes taurinus,species,common wildebeest,species
Snapshot Safari 2024 Expansion,wildebeestblue,connochaetes taurinus taurinus,subspecies,common wildebeest,species
Snapshot Serengeti,wildebeest,connochaetes taurinus,species,common wildebeest,species
WCS Camera Traps,connochaetes taurinus,connochaetes taurinus,species,common wildebeest,species
California Small Animals,brush rabbit,sylvilagus bachmani,species,cottontail rabbits genus,genus
California Small Animals,desert cottontail,sylvilagus audubonii,species,cottontail rabbits genus,genus
California Small Animals,sylvilagus species,sylvilagus,genus,cottontail rabbits genus,genus
Felidae Conservation Fund 2020-2025,brush rabbit,sylvilagus bachmani,species,cottontail rabbits genus,genus
Felidae Conservation Fund 2020-2025,cottontail rabbit,sylvilagus,genus,cottontail rabbits genus,genus
WCS Camera Traps,sylvilagus brasiliensis,sylvilagus brasiliensis,species,cottontail rabbits genus,genus
California Small Animals,coyote,canis latrans,species,coyote,species
Caltech Camera Traps,coyote,canis latrans,species,coyote,species
ENA24,coyote,canis latrans,species,coyote,species
Felidae Conservation Fund 2020-2025,coyote,canis latrans,species,coyote,species
Idaho Camera Traps,coyote,canis latrans,species,coyote,species
NACTI,canis latrans,canis latrans,species,coyote,species
Oregon Critters,coyote,canis latrans,species,coyote,species
Seattle(ish) Camera Traps,coyote,canis latrans,species,coyote,species
WCS Camera Traps,canis latrans,canis latrans,species,coyote,species
WSU Lynx,canis latrans,canis latrans,species,coyote,species
California Small Animals,arvicolinae subfamily,arvicolinae,subfamily,cricetidae family,family
California Small Animals,bushy-tailed woodrat,neotoma cinerea,species,cricetidae family,family
California Small Animals,cactus mouse,peromyscus eremicus,species,cricetidae family,family
California Small Animals,california vole,microtus californicus,species,cricetidae family,family
California Small Animals,cricetidae family,cricetidae,family,cricetidae family,family
California Small Animals,desert woodrat,neotoma lepida,species,cricetidae family,family
California Small Animals,dusky-footed woodrat,neotoma fuscipes,species,cricetidae family,family
California Small Animals,microtus species,microtus,genus,cricetidae family,family
California Small Animals,neotoma species,neotoma,genus,cricetidae family,family
California Small Animals,north american deermouse,peromyscus maniculatus,species,cricetidae family,family
California Small Animals,northern grasshopper mouse,onychomys leucogaster,species,cricetidae family,family
California Small Animals,peromyscus species,peromyscus,genus,cricetidae family,family
California Small Animals,reithrodontomys species,reithrodontomys,genus,cricetidae family,family
California Small Animals,sagebrush vole,lemmiscus curtatus,species,cricetidae family,family
California Small Animals,sigmodon species,sigmodon,genus,cricetidae family,family
NACTI,unidentified deer mouse,peromyscus,genus,cricetidae family,family
NACTI,unidentified pack rat,neotoma,genus,cricetidae family,family
Ohio Small Animals,meadow_vole,microtus pennsylvanicus,species,cricetidae family,family
Ohio Small Animals,white-footed_mouse,peromyscus leucopus,species,cricetidae family,family
Oregon Critters,neotoma species,neotoma,genus,cricetidae family,family
WCS Camera Traps,peromyscus sp,peromyscus,genus,cricetidae family,family
WCS Camera Traps,cuon alpinus,cuon alpinus,species,dhole,species
California Small Animals,domestic cat,felis catus,species,domestic cat,species
Caltech Camera Traps,cat,felis catus,species,domestic cat,species
Desert Lion Conservation Camera Traps,felis catus,felis catus,species,domestic cat,species
ENA24,domestic cat,felis catus,species,domestic cat,species
Felidae Conservation Fund 2020-2025,domestic cat,felis catus,species,domestic cat,species
Island Conservation Camera Traps,cat,felis catus,species,domestic cat,species
Seattle(ish) Camera Traps,cat,felis catus,species,domestic cat,species
Trail Camera Images of New Zealand Animals,cat,felis catus,species,domestic cat,species
Wellington Camera Traps,cat,felis catus,species,domestic cat,species
Biome Health Project Maasai Mara 2018,cattle,bos taurus,species,domestic cattle,species
California Small Animals,domestic cattle,bos taurus,species,domestic cattle,species
Caltech Camera Traps,cow,bos taurus,species,domestic cattle,species
Desert Lion Conservation Camera Traps,bos taurus,bos taurus,species,domestic cattle,species
Felidae Conservation Fund 2020-2025,cattle,bos taurus,species,domestic cattle,species
Idaho Camera Traps,cattle,bos taurus,species,domestic cattle,species
Island Conservation Camera Traps,cow,bos taurus,species,domestic cattle,species
NACTI,bos taurus,bos taurus,species,domestic cattle,species
Nkhotakota Camera Traps,domestic_cattle,bos taurus,species,domestic cattle,species
Orinoquia Camera Traps,cattle,bos taurus,species,domestic cattle,species
Snapshot Serengeti,cattle,bos taurus,species,domestic cattle,species
Trail Camera Images of New Zealand Animals,cow,bos taurus,species,domestic cattle,species
WCS Camera Traps,bos taurus,bos taurus,species,domestic cattle,species
WSU Lynx,domestic cattle,bos taurus,species,domestic cattle,species
Biome Health Project Maasai Mara 2018,domestic_dog,canis familiaris,species,domestic dog,species
California Small Animals,domestic dog,canis familiaris,species,domestic dog,species
Caltech Camera Traps,dog,canis familiaris,species,domestic dog,species
ENA24,dog,canis familiaris,species,domestic dog,species
Felidae Conservation Fund 2020-2025,domestic dog,canis familiaris,species,domestic dog,species
Idaho Camera Traps,domestic dog,canis familiaris,species,domestic dog,species
Island Conservation Camera Traps,dog,canis familiaris,species,domestic dog,species
NACTI,canis familiaris,canis familiaris,species,domestic dog,species
Nkhotakota Camera Traps,domestic_dog,canis familiaris familiaris,subspecies,domestic dog,species
Oregon Critters,domestic dog,canis familiaris,species,domestic dog,species
Orinoquia Camera Traps,domestic_dog,canis familiaris,species,domestic dog,species
SWG Camera Traps,domestic_dog,canis familiaris,species,domestic dog,species
Seattle(ish) Camera Traps,dog,canis familiaris,species,domestic dog,species
Snapshot Safari 2024 Expansion,dogdomestic,canis familiaris,species,domestic dog,species
Trail Camera Images of New Zealand Animals,dog,canis familiaris,species,domestic dog,species
UNSW Predators,dingo,canis familiaris dingo,subspecies,domestic dog,species
WCS Camera Traps,canis familiaris,canis familiaris,species,domestic dog,species
WCS Camera Traps,canis lupus,canis familiaris,species,domestic dog,species
Wellington Camera Traps,dog,canis familiaris,species,domestic dog,species
Desert Lion Conservation Camera Traps,equus asinus,equus asinus,species,domestic donkey,species
Island Conservation Camera Traps,donkey,equus asinus,species,domestic donkey,species
ENA24,horse,equus caballus,species,domestic horse,species
Felidae Conservation Fund 2020-2025,domestic horse,equus caballus,species,domestic horse,species
Idaho Camera Traps,horse,equus caballus,species,domestic horse,species
Orinoquia Camera Traps,domestic_horse,equus caballus,species,domestic horse,species
Snapshot Safari 2024 Expansion,horsedomestic,equus caballus,species,domestic horse,species
Trail Camera Images of New Zealand Animals,horse,equus caballus,species,domestic horse,species
WCS Camera Traps,equus caballus,equus caballus,species,domestic horse,species
WCS Camera Traps,horse,equus caballus,species,domestic horse,species
WSU Lynx,domestic horse,equus caballus,species,domestic horse,species
Trail Camera Images of New Zealand Animals,sheep,ovis aries,species,domestic sheep,species
WCS Camera Traps,ovis aries,ovis aries,species,domestic sheep,species
WCS Camera Traps,camelus dromedarius,camelus dromedarius,species,dromedary camel,species
Trail Camera Images of New Zealand Animals,sealion,phocarctos hookeri,species,eared seals,family
ENA24,eastern cottontail,sylvilagus floridanus,species,eastern cottontail,species
NACTI,sylvilagus floridanus,sylvilagus floridanus,species,eastern cottontail,species
Ohio Small Animals,eastern_cottontail,sylvilagus floridanus,species,eastern cottontail,species
Seattle(ish) Camera Traps,rabbit,sylvilagus floridanus,species,eastern cottontail,species
ENA24,eastern fox squirrel,sciurus niger cinereus,subspecies,eastern fox squirrel,species
NACTI,sciurus niger,sciurus niger,species,eastern fox squirrel,species
ENA24,eastern gray squirrel,sciurus carolinensis,species,eastern gray squirrel,species
Felidae Conservation Fund 2020-2025,eastern grey squirrel,sciurus carolinensis,species,eastern gray squirrel,species
NACTI,sciurus carolinensis,sciurus carolinensis,species,eastern gray squirrel,species
Felidae Conservation Fund 2020-2025,tule elk,cervus canadensis nannodes,subspecies,elk,species
Idaho Camera Traps,elk,cervus canadensis,species,elk,species
NACTI,cervus canadensis,cervus canadensis,species,elk,species
Oregon Critters,roosevelt elk,cervus canadensis roosevelti,subspecies,elk,species
WSU Lynx,cervus canadensis,cervus canadensis,species,elk,species
WCS Camera Traps,eulemur albifrons,eulemur albifrons,species,eulemur species,genus
